Date,Daily Returns for Mr X's Portfolio,Daily Returns for the S&P500,Daily Returns for Hasbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2014,-0.000604631,-0.001900084,0.000734301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2014,0.004640212,0.004640222,0.012291352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2014,0.007639675,0.007924102,0.00797389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/04/2014,0.003166328,0.007039349,0.013843936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/04/2014,0.002870956,0.002853326,-0.001773331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/04/2014,0.000637674,-0.00112645,-0.009237879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/04/2014,-0.008141248,-0.012537288,-0.013986002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/04/2014,-0.010031317,-0.010750113,-0.00854703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/04/2014,0.001900078,0.003750554,0.000733704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/04/2014,0.008953814,0.010918213,0.009714054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2014,-0.017513678,-0.020884796,-0.014340189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2014,-0.007926295,-0.009486774,-0.01233883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2014,0.008118529,0.008217286,0.00037293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2014,0.007466254,0.006757308,-0.003168716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2014,0.008980885,0.010488491,0.006918453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2014,0.001798849,0.001363853,0.014113319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2014,0.002191049,0.004092139,-0.006467846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/04/2014,-0.000857738,-0.002213314,-0.004701611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2014,-0.0016458,0.00171696,-0.001635166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/04/2014,0.003990362,0.003236036,0.017726553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2014,0.004439588,0.004760757,-0.001447703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2014,0.002852233,0.002992017,0.001449764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/05/2014,-0.00184588,-0.000143261,0.007238534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/05/2014,-0.00149389,-0.001348445,0.001976293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/05/2014,0.000334715,0.001871216,-0.004482703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/05/2014,-0.007584251,-0.008988392,-0.002341512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/05/2014,0.007585578,0.005616468,-0.000722162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/05/2014,-0.000821466,-0.001373625,-0.001445312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/05/2014,0.001455694,0.001519476,0.002713893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2014,0.006931042,0.009672738,0.003067527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2014,0.001368002,0.000421758,-0.001619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2014,-0.004429994,-0.004701005,-0.009909898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/05/2014,-0.010193396,-0.009361807,-0.016560512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2014,0.002800341,0.003746965,0.002775683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
